id,timestamp,text
1033856133,14.431,好想养一群(｡･ω･｡)ﾉ♡
1033823155,71.346,谁说自动变黄的站出来
1033817377,67.988,真的？
1033457185,74.074,自己挑
1033455783,52.761,哇塞
1033413617,21.721,萌萌哒！
1033253213,175.508,一根香蕉引发的血案
1033246693,78.119,至于吗？就那条香蕉！
1033204983,207.831,hhhhhhh
1033004077,149.484,敌人X1 X2 X3 X4 X5 X6
1033000147,10.544,画质感人
1032726453,68.026,放屁，我就没黄
1032418949,176.886,之真心被黄胶囊萌哭惹
1032341441,202.41,太萌了
1031732127,171.388,2333333333
1031725517,28.941,这头发
1031686605,173.955,2333333333333
1031669715,210.127,到底是为了什么
1031596079,168.829,卧槽哈哈哈
1031597245,140.148,Banana
1031595551,108.009,Banana！
1031391529,33.64,好萌呀
1031391937,31.364,冰儿   香蕉！！！
1031392361,45.387,banana
1031319701,109.07,我要叫蛋哥砍死你们
1031316893,69.024,3...
1031317665,80.154,被骗
1030875509,47.619,banana
1030845087,77.577,萌死了
1030822915,122.37,这应该是小黄人大电影里的几个吧
1030819275,63.902,字体咋黄了
1030817859,41.317,字体突然变黄了
1030816943,25.901,萌我一脸鼻血
1030814575,0.693,因为一根芭娜娜而引发的故事
1030799303,8.848,芭娜娜
1175447977,117.926,banana
1175419299,19.828,自动变黄
1174600351,144.507,233333333
1174047633,89.655,芭娜娜
1173424595,221.453,banana
1173113713,85.444,？
1173022541,161.703,hhhh
1171817565,78.37,笨啦啦。。。。
1171624735,81.206,看了这么多遍还是大爱吧娜娜
1171500799,7.549,芭娜娜
1171402161,44.841,有没有合浦的朋友听出来了【北那那】
1169023761,100.729,专门扫黄
1168949221,210.543,把那呢
1168233515,21.96,喜欢
1168210977,13.431,感谢
1166788223,189.022,↖变红
1166778405,68.568,黄的弹幕都是黄的
1166203359,190.857,霸奔儿
1166194083,86.795,自动变黄
1166192073,77.41,自动变黄
1165215315,67.32,。
1163635901,0.0,99不88
1163633603,0.0,来去无踪
1163634335,0.0,来去无踪
1163634893,0.0,来去无踪
1163629727,0.0,来去无踪
1163630391,0.0,来去无踪
1163631087,0.0,来去无踪
1163631983,0.0,来去无踪
1163632601,0.0,来去无踪
1162191489,189.143,八倍儿
1161911969,164.343,哈哈哈哈哈哈哈
1161908617,113.195,好乖
1161905687,67.562,23333
1161903817,40.152,好可爱
1159986391,3.916,为什么我看到香蕉就想起小马大公主。。。。
1159787993,165.52,2333333333333333333
1159751891,154.362,你们一开始把波纳纳分成三段不就好了( *・ω・)✄╰ひ╯
1156186693,176.39,在教室打开了一袋零食的既视感
1156002579,56.014,芭娜娜，芭娜娜娜
1154665689,209.375,萌翻了
1154619903,5.736,字幕无意识变色了 23333333
1154001097,128.056,bunana
1153393103,201.638,卧槽
1153392289,189.759,噗
1153386643,110.387,芭娜娜
1151283737,175.137,233333
1151279163,112.913,2333333
1151281109,134.159,BOOM
1151271219,52.675,芭娜娜
1151172173,82.529,我也试试
1149607723,182.837,卧槽哈哈哈哈哈哈哈哈哈哈哈
1149444419,68.652,大爱小黄人
1149439487,27.485,好可爱，萌萌哒
1148980053,119.035,bananananananananananan..
1147267077,207.956,萌出一身血
1144272631,69.241,banana banana
1142932733,15.998,banana
1142626937,98.061,没人发现这是三人组吗
1142627631,98.061,没人发现这是三人组吗
1142627245,98.061,没人发现这是三人组吗
1139161351,43.209,芭娜娜
1139135625,59.225,banana
1138481375,73.782,黄了
1137033079,115.346,bannana
1137034803,211.722,一根banana引发的
1136797147,77.142,我粗来了
1136667211,133.461,别被他们骗了 怎么可能自动变黄
1136664157,83.474,谁说的自动变黄的！
1134718731,153.318,我是暴走小黄人233333
1134687247,170.409,小黄人围城
1134677559,66.196,一根芭娜娜引发的战争
1134679625,77.874,一根芭娜娜引发的三国杀
1134672913,39.462,芭娜娜
1134673333,39.462,芭娜娜
1134674753,49.96,芭娜娜是我的
1134670203,7.36,bababababanana
1133720253,75.544,有很多飞弹你们注意一点
1133714337,2.73,吧哪哪
1133520911,74.975,波呐呐~~~
1129284723,74.607,2
1129255899,206.612,笑死我了
1128701577,70.709,hhh
